"access.field","demand.type","access.type","trip.type","time","threshold","before.after","gap","gini.low","gini.mid","gini.high"
"abs.non.mor.39min.after","pov","abs","non","mor","39","after",0.38,"0.2",0.19,0.18
"abs.non.mor.42min.after","pov","abs","non","mor","42","after",0.38,"0.2",0.19,0.19
"abs.non.mor.45min.after","pov","abs","non","mor","45","after",0.39,"0.19",0.18,0.2
"abs.non.mor.48min.after","pov","abs","non","mor","48","after",0.39,"0.18",0.18,0.2
"abs.non.mor.51min.after","pov","abs","non","mor","51","after",0.39,"0.17",0.18,0.2
"abs.non.mor.54min.after","pov","abs","non","mor","54","after",0.39,"0.16",0.17,0.21
"abs.non.mor.57min.after","pov","abs","non","mor","57","after",0.39,"0.16",0.17,0.21
"abs.non.mor.60min.after","pov","abs","non","mor","60","after",0.38,"0.16",0.16,0.2
"abs.non.mor.63min.after","pov","abs","non","mor","63","after",0.38,"0.16",0.16,0.2
"abs.non.mor.66min.after","pov","abs","non","mor","66","after",0.38,"0.15",0.14,0.19
"abs.non.mor.69min.after","pov","abs","non","mor","69","after",0.38,"0.14",0.13,0.18
"abs.non.mor.72min.after","pov","abs","non","mor","72","after",0.38,"0.13",0.12,0.17
"abs.non.mor.75min.after","pov","abs","non","mor","75","after",0.38,"0.12",0.1,0.15
"rel.non.mor.1.after","pov","rel","non","mor","1","after",0.38,"0.25",0.3,0.33
"rel.non.mor.1.2.after","pov","rel","non","mor","1.2","after",0.36,"0.18",0.2,0.22
"rel.non.mor.1.4.after","pov","rel","non","mor","1.4","after",0.36,"0.17",0.18,0.19
"rel.non.mor.1.6.after","pov","rel","non","mor","1.6","after",0.38,"0.17",0.18,0.2
"rel.non.mor.1.8.after","pov","rel","non","mor","1.8","after",0.39,"0.16",0.17,0.2
"rel.non.mor.2.after","pov","rel","non","mor","2","after",0.39,"0.12",0.14,0.16
"rel.non.mor.2.2.after","pov","rel","non","mor","2.2","after",0.39,"0.09",0.11,0.12
"rel.non.mor.2.4.after","pov","rel","non","mor","2.4","after",0.39,"0.06",0.08,0.08
"rel.non.mor.2.6.after","pov","rel","non","mor","2.6","after",0.39,"0.04",0.05,0.06
"rel.non.mor.2.8.after","pov","rel","non","mor","2.8","after",0.39,"0.03",0.04,0.04
"rel.non.mor.3.after","pov","rel","non","mor","3","after",0.39,"0.02",0.03,0.03
"abs.com.mor.30min.before","emp","abs","com","mor","30","before",0.36,"0.67",0.73,0.79
"abs.com.mor.33min.before","emp","abs","com","mor","33","before",0.37,"0.64",0.7,0.75
"abs.com.mor.36min.before","emp","abs","com","mor","36","before",0.38,"0.61",0.68,0.72
"abs.com.mor.39min.before","emp","abs","com","mor","39","before",0.38,"0.58",0.65,0.7
"abs.com.mor.42min.before","emp","abs","com","mor","42","before",0.39,"0.55",0.62,0.68
"abs.com.mor.45min.before","emp","abs","com","mor","45","before",0.39,"0.53",0.6,0.67
"abs.com.mor.48min.before","emp","abs","com","mor","48","before",0.39,"0.51",0.58,0.65
"abs.com.mor.51min.before","emp","abs","com","mor","51","before",0.39,"0.48",0.56,0.64
"abs.com.mor.54min.before","emp","abs","com","mor","54","before",0.39,"0.45",0.54,0.62
"abs.com.mor.57min.before","emp","abs","com","mor","57","before",0.39,"0.43",0.52,0.61
"abs.com.mor.60min.before","emp","abs","com","mor","60","before",0.39,"0.41",0.5,0.59
"abs.com.mor.63min.before","emp","abs","com","mor","63","before",0.39,"0.39",0.48,0.57
"abs.com.mor.66min.before","emp","abs","com","mor","66","before",0.39,"0.38",0.46,0.55
"abs.com.mor.69min.before","emp","abs","com","mor","69","before",0.39,"0.36",0.44,0.53
"abs.com.mor.72min.before","emp","abs","com","mor","72","before",0.39,"0.35",0.43,0.52
"abs.com.mor.75min.before","emp","abs","com","mor","75","before",0.4,"0.33",0.41,0.5
"rel.com.mor.1.before","emp","rel","com","mor","1","before",0.49,"0.99",1,1
"rel.com.mor.1.2.before","emp","rel","com","mor","1.2","before",0.48,"0.99",0.99,0.99
"rel.com.mor.1.4.before","emp","rel","com","mor","1.4","before",0.46,"0.98",0.98,0.99
"rel.com.mor.1.6.before","emp","rel","com","mor","1.6","before",0.42,"0.96",0.95,0.97
"rel.com.mor.1.8.before","emp","rel","com","mor","1.8","before",0.36,"0.92",0.92,0.95
"rel.com.mor.2.before","emp","rel","com","mor","2","before",0.31,"0.84",0.86,0.9
"rel.com.mor.2.2.before","emp","rel","com","mor","2.2","before",0.31,"0.76",0.79,0.81
"rel.com.mor.2.4.before","emp","rel","com","mor","2.4","before",0.32,"0.65",0.68,0.7
"rel.com.mor.2.6.before","emp","rel","com","mor","2.6","before",0.33,"0.56",0.57,0.58
"rel.com.mor.2.8.before","emp","rel","com","mor","2.8","before",0.33,"0.49",0.49,0.48
"rel.com.mor.3.before","emp","rel","com","mor","3","before",0.33,"0.43",0.42,0.4
"abs.non.mor.30min.before","emp","abs","non","mor","30","before",0.36,"0.66",0.7,0.74
"abs.non.mor.33min.before","emp","abs","non","mor","33","before",0.37,"0.63",0.67,0.7
"abs.non.mor.36min.before","emp","abs","non","mor","36","before",0.37,"0.6",0.65,0.68
"abs.non.mor.39min.before","emp","abs","non","mor","39","before",0.38,"0.58",0.63,0.66
"abs.non.mor.42min.before","emp","abs","non","mor","42","before",0.38,"0.56",0.61,0.63
"abs.non.mor.45min.before","emp","abs","non","mor","45","before",0.38,"0.54",0.59,0.62
"abs.non.mor.48min.before","emp","abs","non","mor","48","before",0.39,"0.51",0.57,0.61
"abs.non.mor.51min.before","emp","abs","non","mor","51","before",0.39,"0.49",0.56,0.6
"abs.non.mor.54min.before","emp","abs","non","mor","54","before",0.39,"0.47",0.54,0.59
"abs.non.mor.57min.before","emp","abs","non","mor","57","before",0.39,"0.45",0.52,0.58
"abs.non.mor.60min.before","emp","abs","non","mor","60","before",0.39,"0.42",0.5,0.56
"abs.non.mor.63min.before","emp","abs","non","mor","63","before",0.39,"0.4",0.48,0.55
"abs.non.mor.66min.before","emp","abs","non","mor","66","before",0.39,"0.39",0.46,0.53
"abs.non.mor.69min.before","emp","abs","non","mor","69","before",0.39,"0.37",0.44,0.51
"abs.non.mor.72min.before","emp","abs","non","mor","72","before",0.39,"0.35",0.42,0.5
"abs.non.mor.75min.before","emp","abs","non","mor","75","before",0.39,"0.33",0.41,0.48
"rel.non.mor.1.before","emp","rel","non","mor","1","before",0.49,"1",1,0.99
"rel.non.mor.1.2.before","emp","rel","non","mor","1.2","before",0.48,"0.98",0.99,0.99
"rel.non.mor.1.4.before","emp","rel","non","mor","1.4","before",0.45,"0.97",0.98,0.99
"rel.non.mor.1.6.before","emp","rel","non","mor","1.6","before",0.4,"0.95",0.94,0.97
"rel.non.mor.1.8.before","emp","rel","non","mor","1.8","before",0.35,"0.91",0.91,0.95
"rel.non.mor.2.before","emp","rel","non","mor","2","before",0.31,"0.82",0.86,0.89
"rel.non.mor.2.2.before","emp","rel","non","mor","2.2","before",0.31,"0.73",0.77,0.81
"rel.non.mor.2.4.before","emp","rel","non","mor","2.4","before",0.33,"0.63",0.66,0.71
"rel.non.mor.2.6.before","emp","rel","non","mor","2.6","before",0.33,"0.54",0.56,0.6
"rel.non.mor.2.8.before","emp","rel","non","mor","2.8","before",0.33,"0.46",0.47,0.48
"rel.non.mor.3.before","emp","rel","non","mor","3","before",0.34,"0.39",0.4,0.4
"abs.com.mor.30min.after","emp","abs","com","mor","30","after",0.4,"0.18",0.19,0.22
"abs.com.mor.33min.after","emp","abs","com","mor","33","after",0.4,"0.17",0.18,0.22
"abs.com.mor.36min.after","emp","abs","com","mor","36","after",0.41,"0.16",0.18,0.22
"abs.com.mor.39min.after","emp","abs","com","mor","39","after",0.42,"0.15",0.18,0.22
"abs.com.mor.42min.after","emp","abs","com","mor","42","after",0.43,"0.15",0.18,0.21
"abs.com.mor.45min.after","emp","abs","com","mor","45","after",0.43,"0.15",0.18,0.22
"abs.com.mor.48min.after","emp","abs","com","mor","48","after",0.44,"0.13",0.18,0.22
"abs.com.mor.51min.after","emp","abs","com","mor","51","after",0.44,"0.12",0.17,0.22
"abs.com.mor.54min.after","emp","abs","com","mor","54","after",0.44,"0.12",0.16,0.22
"abs.com.mor.57min.after","emp","abs","com","mor","57","after",0.43,"0.11",0.15,0.21
"abs.com.mor.60min.after","emp","abs","com","mor","60","after",0.43,"0.1",0.15,0.21
"abs.com.mor.63min.after","emp","abs","com","mor","63","after",0.43,"0.1",0.14,0.2
"abs.com.mor.66min.after","emp","abs","com","mor","66","after",0.43,"0.09",0.14,0.2
"abs.com.mor.69min.after","emp","abs","com","mor","69","after",0.43,"0.08",0.13,0.19
"abs.com.mor.72min.after","emp","abs","com","mor","72","after",0.43,"0.06",0.11,0.17
"abs.com.mor.75min.after","emp","abs","com","mor","75","after",0.43,"0.05",0.1,0.15
"rel.com.mor.1.after","emp","rel","com","mor","1","after",0.38,"0.29",0.32,0.35
"rel.com.mor.1.2.after","emp","rel","com","mor","1.2","after",0.37,"0.23",0.25,0.25
"rel.com.mor.1.4.after","emp","rel","com","mor","1.4","after",0.38,"0.2",0.23,0.22
"rel.com.mor.1.6.after","emp","rel","com","mor","1.6","after",0.39,"0.18",0.23,0.23
"rel.com.mor.1.8.after","emp","rel","com","mor","1.8","after",0.39,"0.16",0.21,0.22
"rel.com.mor.2.after","emp","rel","com","mor","2","after",0.39,"0.13",0.16,0.18
"rel.com.mor.2.2.after","emp","rel","com","mor","2.2","after",0.38,"0.09",0.12,0.13
"rel.com.mor.2.4.after","emp","rel","com","mor","2.4","after",0.38,"0.06",0.08,0.09
"rel.com.mor.2.6.after","emp","rel","com","mor","2.6","after",0.38,"0.05",0.05,0.06
"rel.com.mor.2.8.after","emp","rel","com","mor","2.8","after",0.38,"0.03",0.04,0.04
"rel.com.mor.3.after","emp","rel","com","mor","3","after",0.38,"0.02",0.03,0.03
"abs.non.mor.30min.after","emp","abs","non","mor","30","after",0.39,"0.18",0.17,0.19
"abs.non.mor.33min.after","emp","abs","non","mor","33","after",0.4,"0.18",0.17,0.18
"abs.non.mor.36min.after","emp","abs","non","mor","36","after",0.4,"0.17",0.17,0.18
"abs.non.mor.39min.after","emp","abs","non","mor","39","after",0.41,"0.17",0.18,0.19
"abs.non.mor.42min.after","emp","abs","non","mor","42","after",0.42,"0.17",0.18,0.19
"abs.non.mor.45min.after","emp","abs","non","mor","45","after",0.42,"0.16",0.18,0.2
"abs.non.mor.48min.after","emp","abs","non","mor","48","after",0.43,"0.14",0.18,0.2
"abs.non.mor.51min.after","emp","abs","non","mor","51","after",0.43,"0.14",0.18,0.2
"abs.non.mor.54min.after","emp","abs","non","mor","54","after",0.42,"0.13",0.17,0.21
"abs.non.mor.57min.after","emp","abs","non","mor","57","after",0.42,"0.13",0.17,0.21
"abs.non.mor.60min.after","emp","abs","non","mor","60","after",0.42,"0.12",0.17,0.21
"abs.non.mor.63min.after","emp","abs","non","mor","63","after",0.42,"0.12",0.16,0.21
"abs.non.mor.66min.after","emp","abs","non","mor","66","after",0.42,"0.11",0.16,0.2
"abs.non.mor.69min.after","emp","abs","non","mor","69","after",0.42,"0.1",0.15,0.19
"abs.non.mor.72min.after","emp","abs","non","mor","72","after",0.42,"0.08",0.13,0.18
"abs.non.mor.75min.after","emp","abs","non","mor","75","after",0.42,"0.07",0.12,0.16
"rel.non.mor.1.after","emp","rel","non","mor","1","after",0.38,"0.27",0.3,0.31
"rel.non.mor.1.2.after","emp","rel","non","mor","1.2","after",0.36,"0.19",0.2,0.21
"rel.non.mor.1.4.after","emp","rel","non","mor","1.4","after",0.36,"0.17",0.18,0.18
"rel.non.mor.1.6.after","emp","rel","non","mor","1.6","after",0.38,"0.16",0.19,0.2
"rel.non.mor.1.8.after","emp","rel","non","mor","1.8","after",0.39,"0.15",0.18,0.2
"rel.non.mor.2.after","emp","rel","non","mor","2","after",0.38,"0.11",0.15,0.16
"rel.non.mor.2.2.after","emp","rel","non","mor","2.2","after",0.37,"0.08",0.11,0.12
"rel.non.mor.2.4.after","emp","rel","non","mor","2.4","after",0.37,"0.06",0.08,0.09
"rel.non.mor.2.6.after","emp","rel","non","mor","2.6","after",0.37,"0.04",0.05,0.06
"rel.non.mor.2.8.after","emp","rel","non","mor","2.8","after",0.36,"0.03",0.04,0.04
"rel.non.mor.3.after","emp","rel","non","mor","3","after",0.36,"0.02",0.03,0.03
"abs.com.mor.30min.before","dis","abs","com","mor","30","before",0.3,"-",0.72,0.73
"abs.com.mor.33min.before","dis","abs","com","mor","33","before",0.32,"-",0.69,0.71
"abs.com.mor.36min.before","dis","abs","com","mor","36","before",0.33,"-",0.66,0.68
"abs.com.mor.39min.before","dis","abs","com","mor","39","before",0.33,"-",0.63,0.67
"abs.com.mor.42min.before","dis","abs","com","mor","42","before",0.33,"-",0.61,0.66
"abs.com.mor.45min.before","dis","abs","com","mor","45","before",0.34,"-",0.58,0.64
"abs.com.mor.48min.before","dis","abs","com","mor","48","before",0.34,"-",0.56,0.63
"abs.com.mor.51min.before","dis","abs","com","mor","51","before",0.34,"-",0.54,0.61
"abs.com.mor.54min.before","dis","abs","com","mor","54","before",0.34,"-",0.52,0.59
"abs.com.mor.57min.before","dis","abs","com","mor","57","before",0.34,"-",0.5,0.59
"abs.com.mor.60min.before","dis","abs","com","mor","60","before",0.34,"-",0.48,0.57
"abs.com.mor.63min.before","dis","abs","com","mor","63","before",0.34,"-",0.46,0.54
"abs.com.mor.66min.before","dis","abs","com","mor","66","before",0.34,"-",0.44,0.52
"abs.com.mor.69min.before","dis","abs","com","mor","69","before",0.34,"-",0.43,0.5
"abs.com.mor.72min.before","dis","abs","com","mor","72","before",0.34,"-",0.41,0.49
"abs.com.mor.75min.before","dis","abs","com","mor","75","before",0.34,"-",0.39,0.48
"rel.com.mor.1.before","dis","rel","com","mor","1","before",0.44,"-",1,1
"rel.com.mor.1.2.before","dis","rel","com","mor","1.2","before",0.43,"-",0.99,1
"rel.com.mor.1.4.before","dis","rel","com","mor","1.4","before",0.4,"-",0.98,0.99
"rel.com.mor.1.6.before","dis","rel","com","mor","1.6","before",0.36,"-",0.96,0.98
"rel.com.mor.1.8.before","dis","rel","com","mor","1.8","before",0.3,"-",0.92,0.96
"rel.com.mor.2.before","dis","rel","com","mor","2","before",0.25,"-",0.86,0.9
"rel.com.mor.2.2.before","dis","rel","com","mor","2.2","before",0.25,"-",0.78,0.81
"rel.com.mor.2.4.before","dis","rel","com","mor","2.4","before",0.27,"-",0.67,0.69
"rel.com.mor.2.6.before","dis","rel","com","mor","2.6","before",0.29,"-",0.57,0.57
"rel.com.mor.2.8.before","dis","rel","com","mor","2.8","before",0.29,"-",0.49,0.47
"rel.com.mor.3.before","dis","rel","com","mor","3","before",0.3,"-",0.43,0.4
"abs.non.mor.30min.before","dis","abs","non","mor","30","before",0.31,"-",0.7,0.67
"abs.non.mor.33min.before","dis","abs","non","mor","33","before",0.32,"-",0.67,0.65
"abs.non.mor.36min.before","dis","abs","non","mor","36","before",0.33,"-",0.64,0.63
"abs.non.mor.39min.before","dis","abs","non","mor","39","before",0.33,"-",0.62,0.61
"abs.non.mor.42min.before","dis","abs","non","mor","42","before",0.33,"-",0.6,0.59
"abs.non.mor.45min.before","dis","abs","non","mor","45","before",0.33,"-",0.58,0.58
"abs.non.mor.48min.before","dis","abs","non","mor","48","before",0.34,"-",0.56,0.57
"abs.non.mor.51min.before","dis","abs","non","mor","51","before",0.34,"-",0.54,0.57
"abs.non.mor.54min.before","dis","abs","non","mor","54","before",0.33,"-",0.52,0.56
"abs.non.mor.57min.before","dis","abs","non","mor","57","before",0.33,"-",0.51,0.55
"abs.non.mor.60min.before","dis","abs","non","mor","60","before",0.33,"-",0.48,0.54
"abs.non.mor.63min.before","dis","abs","non","mor","63","before",0.33,"-",0.47,0.52
"abs.non.mor.66min.before","dis","abs","non","mor","66","before",0.33,"-",0.44,0.51
"abs.non.mor.69min.before","dis","abs","non","mor","69","before",0.33,"-",0.42,0.49
"abs.non.mor.72min.before","dis","abs","non","mor","72","before",0.34,"-",0.41,0.47
"abs.non.mor.75min.before","dis","abs","non","mor","75","before",0.34,"-",0.39,0.46
"rel.non.mor.1.before","dis","rel","non","mor","1","before",0.44,"-",1,1
"rel.non.mor.1.2.before","dis","rel","non","mor","1.2","before",0.42,"-",0.99,1
"rel.non.mor.1.4.before","dis","rel","non","mor","1.4","before",0.4,"-",0.97,0.99
"rel.non.mor.1.6.before","dis","rel","non","mor","1.6","before",0.34,"-",0.94,0.97
"rel.non.mor.1.8.before","dis","rel","non","mor","1.8","before",0.29,"-",0.91,0.94
"rel.non.mor.2.before","dis","rel","non","mor","2","before",0.25,"-",0.85,0.88
"rel.non.mor.2.2.before","dis","rel","non","mor","2.2","before",0.26,"-",0.76,0.8
"rel.non.mor.2.4.before","dis","rel","non","mor","2.4","before",0.28,"-",0.66,0.69
"rel.non.mor.2.6.before","dis","rel","non","mor","2.6","before",0.3,"-",0.56,0.58
"rel.non.mor.2.8.before","dis","rel","non","mor","2.8","before",0.3,"-",0.47,0.47
"rel.non.mor.3.before","dis","rel","non","mor","3","before",0.31,"-",0.4,0.39
"abs.com.mor.30min.after","dis","abs","com","mor","30","after",0.35,"-",0.2,0.22
"abs.com.mor.33min.after","dis","abs","com","mor","33","after",0.35,"-",0.19,0.21
"abs.com.mor.36min.after","dis","abs","com","mor","36","after",0.36,"-",0.19,0.21
"abs.com.mor.39min.after","dis","abs","com","mor","39","after",0.36,"-",0.19,0.21
"abs.com.mor.42min.after","dis","abs","com","mor","42","after",0.37,"-",0.19,0.22
"abs.com.mor.45min.after","dis","abs","com","mor","45","after",0.37,"-",0.18,0.22
"abs.com.mor.48min.after","dis","abs","com","mor","48","after",0.38,"-",0.17,0.22
"abs.com.mor.51min.after","dis","abs","com","mor","51","after",0.38,"-",0.16,0.22
"abs.com.mor.54min.after","dis","abs","com","mor","54","after",0.38,"-",0.15,0.22
"abs.com.mor.57min.after","dis","abs","com","mor","57","after",0.38,"-",0.15,0.21
"abs.com.mor.60min.after","dis","abs","com","mor","60","after",0.37,"-",0.14,0.21
"abs.com.mor.63min.after","dis","abs","com","mor","63","after",0.37,"-",0.13,0.2
"abs.com.mor.66min.after","dis","abs","com","mor","66","after",0.37,"-",0.12,0.2
"abs.com.mor.69min.after","dis","abs","com","mor","69","after",0.37,"-",0.11,0.19
"abs.com.mor.72min.after","dis","abs","com","mor","72","after",0.37,"-",0.1,0.18
"abs.com.mor.75min.after","dis","abs","com","mor","75","after",0.37,"-",0.08,0.16
"rel.com.mor.1.after","dis","rel","com","mor","1","after",0.34,"-",0.31,0.36
"rel.com.mor.1.2.after","dis","rel","com","mor","1.2","after",0.33,"-",0.24,0.26
"rel.com.mor.1.4.after","dis","rel","com","mor","1.4","after",0.33,"-",0.21,0.24
"rel.com.mor.1.6.after","dis","rel","com","mor","1.6","after",0.34,"-",0.21,0.24
"rel.com.mor.1.8.after","dis","rel","com","mor","1.8","after",0.35,"-",0.19,0.23
"rel.com.mor.2.after","dis","rel","com","mor","2","after",0.34,"-",0.14,0.19
"rel.com.mor.2.2.after","dis","rel","com","mor","2.2","after",0.34,"-",0.1,0.13
"rel.com.mor.2.4.after","dis","rel","com","mor","2.4","after",0.34,"-",0.07,0.09
"rel.com.mor.2.6.after","dis","rel","com","mor","2.6","after",0.34,"-",0.05,0.06
"rel.com.mor.2.8.after","dis","rel","com","mor","2.8","after",0.35,"-",0.04,0.04
"rel.com.mor.3.after","dis","rel","com","mor","3","after",0.35,"-",0.03,0.03
"abs.non.mor.30min.after","dis","abs","non","mor","30","after",0.34,"-",0.19,0.17
"abs.non.mor.33min.after","dis","abs","non","mor","33","after",0.34,"-",0.19,0.17
"abs.non.mor.36min.after","dis","abs","non","mor","36","after",0.35,"-",0.19,0.17
"abs.non.mor.39min.after","dis","abs","non","mor","39","after",0.35,"-",0.19,0.18
"abs.non.mor.42min.after","dis","abs","non","mor","42","after",0.36,"-",0.19,0.19
"abs.non.mor.45min.after","dis","abs","non","mor","45","after",0.36,"-",0.18,0.2
"abs.non.mor.48min.after","dis","abs","non","mor","48","after",0.37,"-",0.17,0.2
"abs.non.mor.51min.after","dis","abs","non","mor","51","after",0.37,"-",0.17,0.21
"abs.non.mor.54min.after","dis","abs","non","mor","54","after",0.37,"-",0.16,0.21
"abs.non.mor.57min.after","dis","abs","non","mor","57","after",0.36,"-",0.16,0.21
"abs.non.mor.60min.after","dis","abs","non","mor","60","after",0.36,"-",0.16,0.21
"abs.non.mor.63min.after","dis","abs","non","mor","63","after",0.36,"-",0.15,0.21
"abs.non.mor.66min.after","dis","abs","non","mor","66","after",0.36,"-",0.14,0.2
"abs.non.mor.69min.after","dis","abs","non","mor","69","after",0.36,"-",0.13,0.2
"abs.non.mor.72min.after","dis","abs","non","mor","72","after",0.36,"-",0.11,0.18
"abs.non.mor.75min.after","dis","abs","non","mor","75","after",0.36,"-",0.1,0.16
"rel.non.mor.1.after","dis","rel","non","mor","1","after",0.34,"-",0.28,0.32
"rel.non.mor.1.2.after","dis","rel","non","mor","1.2","after",0.32,"-",0.19,0.22
"rel.non.mor.1.4.after","dis","rel","non","mor","1.4","after",0.32,"-",0.17,0.19
"rel.non.mor.1.6.after","dis","rel","non","mor","1.6","after",0.34,"-",0.17,0.2
"rel.non.mor.1.8.after","dis","rel","non","mor","1.8","after",0.34,"-",0.16,0.21
"rel.non.mor.2.after","dis","rel","non","mor","2","after",0.34,"-",0.13,0.18
"rel.non.mor.2.2.after","dis","rel","non","mor","2.2","after",0.34,"-",0.09,0.13
"rel.non.mor.2.4.after","dis","rel","non","mor","2.4","after",0.34,"-",0.07,0.09
"rel.non.mor.2.6.after","dis","rel","non","mor","2.6","after",0.34,"-",0.05,0.06
"rel.non.mor.2.8.after","dis","rel","non","mor","2.8","after",0.34,"-",0.04,0.04
"rel.non.mor.3.after","dis","rel","non","mor","3","after",0.34,"-",0.03,0.03
"abs.com.mor.30min.before","eld","abs","com","mor","30","before",0.36,"0.68",0.76,0.79
"abs.com.mor.33min.before","eld","abs","com","mor","33","before",0.37,"0.64",0.73,0.75
"abs.com.mor.36min.before","eld","abs","com","mor","36","before",0.38,"0.61",0.7,0.74
"abs.com.mor.39min.before","eld","abs","com","mor","39","before",0.38,"0.59",0.66,0.73
"abs.com.mor.42min.before","eld","abs","com","mor","42","before",0.39,"0.55",0.63,0.72
"abs.com.mor.45min.before","eld","abs","com","mor","45","before",0.39,"0.54",0.61,0.7
"abs.com.mor.48min.before","eld","abs","com","mor","48","before",0.39,"0.51",0.59,0.68
"abs.com.mor.51min.before","eld","abs","com","mor","51","before",0.39,"0.49",0.57,0.66
"abs.com.mor.54min.before","eld","abs","com","mor","54","before",0.39,"0.46",0.55,0.64
"abs.com.mor.57min.before","eld","abs","com","mor","57","before",0.39,"0.44",0.54,0.63
"abs.com.mor.60min.before","eld","abs","com","mor","60","before",0.39,"0.42",0.52,0.62
"abs.com.mor.63min.before","eld","abs","com","mor","63","before",0.39,"0.4",0.49,0.6
"abs.com.mor.66min.before","eld","abs","com","mor","66","before",0.39,"0.38",0.47,0.58
"abs.com.mor.69min.before","eld","abs","com","mor","69","before",0.39,"0.36",0.45,0.56
"abs.com.mor.72min.before","eld","abs","com","mor","72","before",0.39,"0.34",0.44,0.55
"abs.com.mor.75min.before","eld","abs","com","mor","75","before",0.39,"0.32",0.42,0.53
"rel.com.mor.1.before","eld","rel","com","mor","1","before",0.49,"0.99",1,1
"rel.com.mor.1.2.before","eld","rel","com","mor","1.2","before",0.49,"0.99",0.99,1
"rel.com.mor.1.4.before","eld","rel","com","mor","1.4","before",0.46,"0.97",0.99,0.99
"rel.com.mor.1.6.before","eld","rel","com","mor","1.6","before",0.42,"0.94",0.97,0.99
"rel.com.mor.1.8.before","eld","rel","com","mor","1.8","before",0.36,"0.88",0.95,0.97
"rel.com.mor.2.before","eld","rel","com","mor","2","before",0.31,"0.81",0.87,0.92
"rel.com.mor.2.2.before","eld","rel","com","mor","2.2","before",0.33,"0.71",0.79,0.86
"rel.com.mor.2.4.before","eld","rel","com","mor","2.4","before",0.36,"0.58",0.68,0.77
"rel.com.mor.2.6.before","eld","rel","com","mor","2.6","before",0.37,"0.47",0.57,0.67
"rel.com.mor.2.8.before","eld","rel","com","mor","2.8","before",0.38,"0.38",0.48,0.59
"rel.com.mor.3.before","eld","rel","com","mor","3","before",0.38,"0.32",0.4,0.52
"abs.non.mor.30min.before","eld","abs","non","mor","30","before",0.37,"0.64",0.71,0.72
"abs.non.mor.33min.before","eld","abs","non","mor","33","before",0.37,"0.62",0.68,0.69
"abs.non.mor.36min.before","eld","abs","non","mor","36","before",0.38,"0.59",0.65,0.67
"abs.non.mor.39min.before","eld","abs","non","mor","39","before",0.38,"0.57",0.62,0.66
"abs.non.mor.42min.before","eld","abs","non","mor","42","before",0.39,"0.55",0.59,0.65
"abs.non.mor.45min.before","eld","abs","non","mor","45","before",0.39,"0.53",0.57,0.64
"abs.non.mor.48min.before","eld","abs","non","mor","48","before",0.39,"0.51",0.56,0.63
"abs.non.mor.51min.before","eld","abs","non","mor","51","before",0.39,"0.48",0.54,0.63
"abs.non.mor.54min.before","eld","abs","non","mor","54","before",0.39,"0.46",0.53,0.62
"abs.non.mor.57min.before","eld","abs","non","mor","57","before",0.39,"0.44",0.51,0.61
"abs.non.mor.60min.before","eld","abs","non","mor","60","before",0.39,"0.42",0.49,0.6
"abs.non.mor.63min.before","eld","abs","non","mor","63","before",0.39,"0.4",0.47,0.58
"abs.non.mor.66min.before","eld","abs","non","mor","66","before",0.39,"0.38",0.45,0.57
"abs.non.mor.69min.before","eld","abs","non","mor","69","before",0.39,"0.35",0.43,0.55
"abs.non.mor.72min.before","eld","abs","non","mor","72","before",0.39,"0.33",0.41,0.54
"abs.non.mor.75min.before","eld","abs","non","mor","75","before",0.39,"0.31",0.4,0.53
"rel.non.mor.1.before","eld","rel","non","mor","1","before",0.49,"1",0.99,1
"rel.non.mor.1.2.before","eld","rel","non","mor","1.2","before",0.48,"0.98",0.99,0.99
"rel.non.mor.1.4.before","eld","rel","non","mor","1.4","before",0.45,"0.96",0.99,0.99
"rel.non.mor.1.6.before","eld","rel","non","mor","1.6","before",0.4,"0.91",0.97,0.97
"rel.non.mor.1.8.before","eld","rel","non","mor","1.8","before",0.35,"0.87",0.94,0.95
"rel.non.mor.2.before","eld","rel","non","mor","2","before",0.31,"0.8",0.88,0.91
"rel.non.mor.2.2.before","eld","rel","non","mor","2.2","before",0.33,"0.69",0.79,0.84
"rel.non.mor.2.4.before","eld","rel","non","mor","2.4","before",0.36,"0.56",0.68,0.76
"rel.non.mor.2.6.before","eld","rel","non","mor","2.6","before",0.37,"0.45",0.57,0.67
"rel.non.mor.2.8.before","eld","rel","non","mor","2.8","before",0.38,"0.36",0.47,0.58
"rel.non.mor.3.before","eld","rel","non","mor","3","before",0.38,"0.29",0.39,0.51
"abs.com.mor.30min.after","eld","abs","com","mor","30","after",0.35,"0.19",0.22,0.23
"abs.com.mor.33min.after","eld","abs","com","mor","33","after",0.36,"0.17",0.22,0.22
"abs.com.mor.36min.after","eld","abs","com","mor","36","after",0.37,"0.16",0.21,0.22
"abs.com.mor.39min.after","eld","abs","com","mor","39","after",0.38,"0.16",0.22,0.22
"abs.com.mor.42min.after","eld","abs","com","mor","42","after",0.38,"0.17",0.22,0.22
"abs.com.mor.45min.after","eld","abs","com","mor","45","after",0.38,"0.17",0.22,0.23
"abs.com.mor.48min.after","eld","abs","com","mor","48","after",0.38,"0.17",0.22,0.22
"abs.com.mor.51min.after","eld","abs","com","mor","51","after",0.37,"0.16",0.21,0.21
"abs.com.mor.54min.after","eld","abs","com","mor","54","after",0.37,"0.16",0.2,0.2
